Comment,Designator,Footprint,JLCPCB Part #,,
SW_Push,SW1,power switch,C128539,,
10u,"C23,C25,C19",C_0805_2012Metric,C17024,,
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,,
27,"R7,R8",R_0402_1005Metric,C25100,,
1k,R2,R_0402_1005Metric,C25543,,
1K,R41,R_0402_1005Metric,C25543,,
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537,,
D,D1,D_0402_1005Metric,C2837790,,
RV-3028-C7_32.768kHz_1ppm_TA_QC,Y2,MicroCrystal_RV3028C7,C3019759,,
4.7u,"C9,C6,C7,C10",C_0402_1005Metric,C368809,,
BC847,"Q2,Q7,Q5,Q1,Q9",SOT-23,C391423,,
3.3u,L1,L_pol_2016,C42411119,,
RP2350_80QFN,U5,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655,,
10k,"R35,R34,R38,R1,R36",R_0402_1005Metric,C60490,,
100k,R39,R_0402_1005Metric,C60491,,
100n,"C12,C18,C11,C16,C5,C14,C2,C21,C17,C24,C13,C20,C15,C8",C_0402_1005Metric,C77020,,
33,R3,R_0402_1005Metric,C852729,,
15p,"C4,C3",C_0402_1005Metric,C86285,,
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C97521,,
4.7uH,L2,L_Neosid_MicroCoil_Ms36-L,C48427,,
LED,"D2,D3,D4,D7,D9,D5,D6,D8",LED_REVERSE,C3646932,,
100nF,"C26,C29",C_0805_2012Metric,C1711,,
3k,"R14,R44,R54,R52,R45,R58,R51,R46,R50,R53,R47,R56,R57,R55,R59,R49,R48",R_0402_1005Metric,C137872,,
22uF,"C27,C30,C35,C1,C28",C_0805_2012Metric,C602037,,
MAX16054,U4,SOT-23-6,C79401,,
220,"R10,R9,R4,R6,R5,R13,R11,R12",R_0402_1005Metric,C137872,,
SW_Push,SW2,SW_SPST_PTS810,C221895,,
100nF,C79,C_0402_1005Metric,C77020,,
USB_B_Micro,J5,USB_Micro-B_Molex_47346-0001, C132560,,
120R,R37,R_0402_1005Metric,C114758,,
SS34,D12,D_SMA,C8678,,
TP5400,U3,SOIC-8_3.9x4.9mm_P1.27mm,C2891434,,
