Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,30.300000,-26.000000,0.000000,bottom
C2,100n,C_0402_1005Metric,53.720000,-60.225000,0.000000,bottom
C3,15p,C_0402_1005Metric,27.750000,-63.250000,180.000000,bottom
C4,15p,C_0402_1005Metric,27.750000,-62.250000,180.000000,bottom
C5,100n,C_0402_1005Metric,39.500000,-95.500000,-90.000000,bottom
C6,4.7u,C_0402_1005Metric,48.580000,-57.180000,90.000000,bottom
C7,4.7u,C_0402_1005Metric,49.590000,-57.180000,90.000000,bottom
C8,100n,C_0402_1005Metric,42.625000,-67.080000,-90.000000,bottom
C9,4.7u,C_0402_1005Metric,49.080000,-55.000000,180.000000,bottom
C10,4.7u,C_0402_1005Metric,35.000000,-59.800000,180.000000,bottom
C11,100n,C_0402_1005Metric,43.325000,-52.770000,90.000000,bottom
C12,100n,C_0402_1005Metric,48.990000,-60.460000,0.000000,bottom
C13,100n,C_0402_1005Metric,35.500000,-61.675000,180.000000,bottom
C14,100n,C_0402_1005Metric,49.805000,-64.025000,0.000000,bottom
C15,100n,C_0402_1005Metric,45.620000,-68.210000,-90.000000,bottom
C16,100n,C_0402_1005Metric,42.200000,-52.755000,90.000000,bottom
C17,100n,C_0402_1005Metric,40.475000,-67.670000,-90.000000,bottom
C18,100n,C_0402_1005Metric,38.400000,-53.600000,90.000000,bottom
C19,10u,C_0805_2012Metric,35.050000,-104.400000,180.000000,bottom
C20,100n,C_0402_1005Metric,46.800000,-53.600000,90.000000,bottom
C21,100n,C_0402_1005Metric,35.720000,-63.400000,180.000000,bottom
C23,10u,C_0805_2012Metric,52.250000,-46.350000,-90.000000,bottom
C24,100n,C_0402_1005Metric,38.300000,-94.680000,-90.000000,bottom
C25,10u,C_0805_2012Metric,52.250000,-49.750000,90.000000,bottom
C26,100nF,C_0805_2012Metric,27.040000,-46.730000,90.000000,bottom
C27,22uF,C_0805_2012Metric,29.000000,-46.700000,90.000000,bottom
C28,22uF,C_0805_2012Metric,31.030000,-46.650000,90.000000,bottom
C29,100nF,C_0805_2012Metric,27.000000,-41.000000,90.000000,bottom
C30,22uF,C_0805_2012Metric,29.000000,-41.000000,90.000000,bottom
C35,22uF,C_0805_2012Metric,31.000000,-41.000000,90.000000,bottom
C79,100nF,C_0402_1005Metric,37.520000,-40.200000,0.000000,bottom
D1,D,D_0402_1005Metric,55.300000,-97.785000,90.000000,bottom
D2,LED,LED_REVERSE,27.525000,-74.350000,180.000000,bottom
D3,LED,LED_REVERSE,37.900000,-74.350000,0.000000,bottom
D4,LED,LED_REVERSE,47.125000,-74.350000,180.000000,bottom
D5,LED,LED_REVERSE,34.750000,-113.875000,90.000000,bottom
D6,LED,LED_REVERSE,50.250000,-113.350000,-90.000000,bottom
D7,LED,LED_REVERSE,35.025000,-100.000000,180.000000,bottom
D8,LED,LED_REVERSE,50.250000,-99.750000,-90.000000,bottom
D9,LED,LED_REVERSE,57.500000,-74.375000,0.000000,bottom
D12,SS34,D_SMA,29.060000,-37.450000,180.000000,bottom
J2,Conn_02x04_Counter_Clockwise,PinHeader_2x04_P2.54mm_Vertical_SMD,48.440000,-33.775000,90.000000,bottom
J5,USB_B_Micro,USB_Micro-B_Molex_47346-0001,38.162500,-123.750000,180.000000,bottom
J20,Conn_01x04_Pin,battery,39.038102,-45.100000,180.000000,bottom
L1,3.3u,L_pol_2016,51.391790,-57.200000,90.000000,bottom
L2,4.7uH,L_Neosid_MicroCoil_Ms36-L,36.500000,-27.500000,180.000000,bottom
LS2,Buzzer,buzzer,26.678713,-118.300000,180.000000,bottom
M1,Vibration,vibrator,55.500000,-111.300000,180.000000,bottom
Q1,BC847,SOT-23,56.862500,-94.950000,180.000000,bottom
Q2,BC847,SOT-23,31.525000,-73.562500,90.000000,bottom
Q5,BC847,SOT-23,53.150000,-113.712500,90.000000,bottom
Q7,BC847,SOT-23,47.125000,-99.937500,90.000000,bottom
Q9,BC847,SOT-23,53.175000,-73.537500,90.000000,bottom
R1,10k,R_0402_1005Metric,56.830000,-60.180000,180.000000,bottom
R2,1k,R_0402_1005Metric,33.250000,-60.750000,180.000000,bottom
R3,33,R_0402_1005Metric,51.000000,-55.000000,180.000000,bottom
R4,220,R_0402_1005Metric,28.885000,-72.700000,180.000000,bottom
R5,220,R_0402_1005Metric,36.535000,-72.700000,0.000000,bottom
R6,220,R_0402_1005Metric,48.485000,-72.700000,180.000000,bottom
R7,27,R_0402_1005Metric,55.690000,-59.200000,180.000000,bottom
R8,27,R_0402_1005Metric,55.690000,-58.200000,180.000000,bottom
R9,220,R_0402_1005Metric,36.890000,-115.175000,180.000000,bottom
R10,220,R_0402_1005Metric,52.360000,-111.300000,180.000000,bottom
R11,220,R_0402_1005Metric,36.665000,-98.300000,180.000000,bottom
R12,220,R_0402_1005Metric,48.125000,-97.500000,0.000000,bottom
R13,220,R_0402_1005Metric,56.685000,-72.475000,0.000000,bottom
R14,3k,R_0402_1005Metric,47.500000,-23.250000,0.000000,bottom
R34,10k,R_0402_1005Metric,47.990000,-93.900000,180.000000,bottom
R35,10k,R_0402_1005Metric,47.990000,-94.900000,180.000000,bottom
R36,10k,R_0402_1005Metric,48.000000,-92.900000,180.000000,bottom
R37,120R,R_0402_1005Metric,43.990000,-96.500000,0.000000,bottom
R38,10k,R_0402_1005Metric,39.500000,-93.500000,90.000000,bottom
R39,100k,R_0402_1005Metric,37.200000,-94.710000,-90.000000,bottom
R41,1K,R_0402_1005Metric,25.750000,-34.500000,-90.000000,bottom
R44,3k,R_0402_1005Metric,30.590000,-116.000000,0.000000,bottom
R45,3k,R_0402_1005Metric,42.500000,-116.910000,90.000000,bottom
R46,3k,R_0402_1005Metric,54.790000,-116.300000,180.000000,bottom
R47,3k,R_0402_1005Metric,56.375000,-110.590000,-90.000000,bottom
R48,3k,R_0402_1005Metric,43.900000,-113.800000,0.000000,bottom
R49,3k,R_0402_1005Metric,30.000000,-107.900000,0.000000,bottom
R50,3k,R_0402_1005Metric,29.310000,-100.200000,0.000000,bottom
R51,3k,R_0402_1005Metric,41.200000,-101.400000,0.000000,bottom
R52,3k,R_0402_1005Metric,54.690000,-100.200000,0.000000,bottom
R53,3k,R_0402_1005Metric,28.010000,-92.000000,180.000000,bottom
R54,3k,R_0402_1005Metric,41.010000,-89.900000,180.000000,bottom
R55,3k,R_0402_1005Metric,56.810000,-92.000000,0.000000,bottom
R56,3k,R_0402_1005Metric,42.500000,-78.310000,-90.000000,bottom
R57,3k,R_0402_1005Metric,56.910000,-80.100000,180.000000,bottom
R58,3k,R_0402_1005Metric,50.010000,-84.500000,180.000000,bottom
R59,3k,R_0402_1005Metric,29.990000,-80.700000,0.000000,bottom
SW1,SW_Push,power switch,35.400000,-27.600000,180.000000,bottom
SW2,SW_Push,SW_SPST_PTS810,49.925000,-25.825000,0.000000,bottom
